Date,ShotsSunk
30/10/2013,3
31/10/2013,4
1/11/2013,3
2/11/2013,4
3/11/2013,3
4/11/2013,5
5/11/2013,4
6/11/2013,6
31/10/2013,5
6/11/2013,3
7/11/2013,2
8/11/2013,5
9/11/2013,3
7/11/2013,4
8/11/2013,5
9/11/2013,2
10/11/2013,5
11/11/2013,6
12/11/2013,4
13/11/2013,3
14/11/2013,4
15/11/2013,1
16/11/2013,5
17/11/2013,5
18/11/2013,5
19/11/2013,4
20/11/2013,6
21/11/2013,4
22/11/2013,3
29/01/2014,6
30/01/2014,7
5/02/2014,5
6/02/2014,3
7/02/2014,2
8/02/2014,6
9/02/2014,5
7/02/2014,7
8/02/2014,5
9/02/2014,2
26/02/2014,4
27/02/2014,7
28/02/2014,9
1/03/2014,5
2/03/2014,5
3/03/2014,4
5/03/2014,2
6/03/2014,9
7/03/2014,7
6/03/2014,6
7/03/2014,7
8/03/2014,7
10/03/2014,8
11/03/2014,9
12/03/2014,6
13/03/2014,3
14/03/2014,8
15/03/2014,8
17/03/2014,5
18/03/2014,9
19/03/2014,5
20/03/2014,6
19/03/2014,4
20/03/2014,5
23/05/2014,6
21/08/2014,6
22/08/2014,7
25/08/2014,3
26/08/2014,4
27/08/2014,5
2/09/2014,9
3/09/2014,5
4/09/2014,6
15/10/2014,8
16/10/2014,5
16/10/2014,7
17/10/2014,3
18/10/2014,8
12/01/2015,5
13/01/2015,8
